# InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  50 1.26250E+18 0.000000000000000 0.000000 0.189402 18466.273917590406199 0.175535 18466.273917590391648 0.000000 18466.273917590409837 0.000000 18466.273917590926430 0.013867 18466.273917590391648 0.0000000000
  51 1.28750E+18 0.000000000000000 0.000000 0.189737 18498.884940035251930 0.175845 18498.884940035255568 0.000000 18498.884940035230102 0.000000 18498.884940035386535 0.013892 18498.884940035255568 0.0000000000
  52 1.31250E+18 0.000000000000000 0.000000 0.190062 18530.620821799435362 0.176147 18530.620821799424448 0.000000 18530.620821799428086 0.000000 18530.620821799613623 0.013916 18530.620821799428086 0.0000000000
  53 1.33750E+18 0.000000000000000 0.000000 0.190379 18561.510290722766513 0.176440 18561.510290722766513 0.000000 18561.510290722795617 0.000000 18561.510290723104845 0.013939 18561.510290722766513 0.0000000000
  54 1.36250E+18 0.000000000000000 0.000000 0.190687 18591.580950945299264 0.176726 18591.580950945302902 0.000000 18591.580950945241057 0.000000 18591.580950945222867 0.013961 18591.580950945299264 0.0000000000
  55 1.38750E+18 0.000000000000000 0.000000 0.190988 18620.852320995181799 0.177004 18620.852320995178161 0.000000 18620.852320995214541 0.000000 18620.852320995396440 0.013983 18620.852320995181799 0.0000000000
  56 1.41250E+18 0.000000000000000 0.000000 0.191280 18649.364215041474381 0.177275 18649.364215041474381 0.000000 18649.364215041459829 0.000000 18649.364215041303396 0.014005 18649.364215041474381 0.0000000000
  57 1.43750E+18 0.000000000000000 0.000000 0.191565 18677.133877700882294 0.177539 18677.133877700889570 0.000000 18677.133877700842277 0.000000 18677.133877700904122 0.014026 18677.133877700889570 0.0000000000
  58 1.46250E+18 0.000000000000000 0.000000 0.191842 18704.184915223722783 0.177796 18704.184915223722783 0.000000 18704.184915223668213 0.000000 18704.184915223919234 0.014046 18704.184915223722783 0.0000000000
  59 1.48750E+18 0.000000000000000 0.000000 0.192113 18730.540045134242973 0.178047 18730.540045134235697 0.000000 18730.540045134184766 0.000000 18730.540045133882813 0.014066 18730.540045134235697 0.0000000000
  60 1.51250E+18 0.000000000000000 0.000000 0.192376 18756.221135707721260 0.178291 18756.221135707713984 0.000000 18756.221135707768553 0.000000 18756.221135707626672 0.014085 18756.221135707710346 0.0000000000
  61 1.53750E+18 0.000000000000000 0.000000 0.192633 18781.249243337701046 0.178529 18781.249243337697408 0.000000 18781.249243337697408 0.000000 18781.249243337671942 0.014104 18781.249243337690132 0.0000000000
  62 1.56250E+18 0.000000000000000 0.000000 0.192883 18805.644647947188787 0.178761 18805.644647947174235 0.000000 18805.644647947141493 0.000000 18805.644647947061458 0.014122 18805.644647947177873 0.0000000000
  63 1.58750E+18 0.000000000000000 0.000000 0.193127 18829.426886568053305 0.178987 18829.426886568056943 0.000000 18829.426886568042391 0.000000 18829.426886568176997 0.014140 18829.426886568056943 0.0000000000
  64 1.61250E+18 0.000000000000000 0.000000 0.193365 18852.619526347774809 0.179207 18852.619526347767533 0.000000 18852.619526347811188 0.000000 18852.619526347727515 0.014157 18852.619526347771171 0.0000000000
  65 1.63750E+18 0.000000000000000 0.000000 0.193597 18875.231006509809959 0.179422 18875.231006509820872 0.000000 18875.231006509820872 0.000000 18875.231006510010047 0.014174 18875.231006509820872 0.0000000000
  66 1.66250E+18 0.000000000000000 0.000000 0.193823 18897.283791444489907 0.179632 18897.283791444486269 0.000000 18897.283791444475355 0.000000 18897.283791444529925 0.014191 18897.283791444486269 0.0000000000
  67 1.68750E+18 0.000000000000000 0.000000 0.194044 18918.794749788641639 0.179836 18918.794749788652553 0.000000 18918.794749788678018 0.000000 18918.794749788889021 0.014207 18918.794749788656191 0.0000000000
  68 1.71250E+18 0.000000000000000 0.000000 0.194259 18939.784129153795220 0.180036 18939.784129153787944 0.000000 18939.784129153755202 0.000000 18939.784129153886170 0.014223 18939.784129153791582 0.0000000000
  69 1.73750E+18 0.000000000000000 0.000000 0.194469 18960.259467588835832 0.180231 18960.259467588846746 0.000000 18960.259467588832194 0.000000 18960.259467589021369 0.014238 18960.259467588843108 0.0000000000
  70 1.76250E+18 0.000000000000000 0.000000 0.194674 18980.240097560377762 0.180421 18980.240097560381400 0.000000 18980.240097560417780 0.000000 18980.240097560847062 0.014253 18980.240097560374124 0.0000000000
  71 1.78750E+18 0.000000000000000 0.000000 0.194874 18999.744108538481669 0.180606 18999.744108538478031 0.000000 18999.744108538518049 0.000000 18999.744108538539876 0.014268 18999.744108538481669 0.0000000000
  72 1.81250E+18 0.000000000000000 0.000000 0.195069 19018.778481233784987 0.180787 19018.778481233781349 0.000000 19018.778481233734055 0.000000 19018.778481233784987 0.014282 19018.778481233777711 0.0000000000
  73 1.83750E+18 0.000000000000000 0.000000 0.195260 19037.363686205600970 0.180964 19037.363686205593694 0.000000 19037.363686205520935 0.000000 19037.363686205586419 0.014296 19037.363686205597332 0.0000000000
