# ﻿InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  10 2.62500E+017 0.000000000000000 0.000000 0.162611 15854.166107896118774 0.150705 15854.166107896118774 0.000000 15854.166107896136964 0.000000 15854.166107896151516 0.011906 15854.166107896116955 0.0000000000
  11 2.87500E+017 0.000000000000000 0.000000 0.163849 15974.933843865539529 0.151853 15974.933843865534072 0.000000 15974.933843865564995 0.000000 15974.933843865630479 0.011996 15974.933843865534072 0.0000000000
  12 3.12500E+017 0.000000000000000 0.000000 0.165036 16090.672054476077392 0.152953 16090.672054476082849 0.000000 16090.672054476151970 0.000000 16090.672054475617188 0.012083 16090.672054476082849 0.0000000000
  13 3.37500E+017 0.000000000000000 0.000000 0.166176 16201.732950528496076 0.154009 16201.732950528494257 0.000000 16201.732950528519723 0.000000 16201.732950528356014 0.012167 16201.732950528490619 0.0000000000
  14 3.62500E+017 0.000000000000000 0.000000 0.167269 16308.321493193499919 0.155022 16308.321493193499919 0.000000 16308.321493193530841 0.000000 16308.321493193541755 0.012247 16308.321493193498100 0.0000000000
  15 3.87500E+017 0.000000000000000 0.000000 0.168319 16410.755694934796338 0.155996 16410.755694934792700 0.000000 16410.755694934810890 0.000000 16410.755694934556232 0.012324 16410.755694934796338 0.0000000000
  16 4.12500E+017 0.000000000000000 0.000000 0.169329 16509.210682818880741 0.156932 16509.210682818891655 0.000000 16509.210682818862551 0.000000 16509.210682818618807 0.012398 16509.210682818891655 0.0000000000
  17 4.37500E+017 0.000000000000000 0.000000 0.170301 16603.967775000834081 0.157832 16603.967775000834081 0.000000 16603.967775000877737 0.000000 16603.967775000877737 0.012469 16603.967775000834081 0.0000000000
  18 4.62500E+017 0.000000000000000 0.000000 0.171237 16695.201101338869194 0.158700 16695.201101338858280 0.000000 16695.201101338803710 0.000000 16695.201101338865556 0.012537 16695.201101338854642 0.0000000000
  19 4.87500E+017 0.000000000000000 0.000000 0.172138 16783.072522953541920 0.159535 16783.072522953538282 0.000000 16783.072522953483713 0.000000 16783.072522953469161 0.012603 16783.072522953541920 0.0000000000
  20 5.12500E+017 0.000000000000000 0.000000 0.173007 16867.812958677241113 0.160340 16867.812958677241113 0.000000 16867.812958677270217 0.000000 16867.812958677146526 0.012667 16867.812958677241113 0.0000000000
  21 5.37500E+017 0.000000000000000 0.000000 0.173846 16949.556199926271802 0.161117 16949.556199926279078 0.000000 16949.556199926377303 0.000000 16949.556199926628324 0.012728 16949.556199926275440 0.0000000000
  22 5.62500E+017 0.000000000000000 0.000000 0.174655 17028.452101535003749 0.161867 17028.452101535003749 0.000000 17028.452101534978283 0.000000 17028.452101534719986 0.012788 17028.452101535000111 0.0000000000
  23 5.87500E+017 0.000000000000000 0.000000 0.175436 17104.615259762576898 0.162591 17104.615259762580536 0.000000 17104.615259762580536 0.000000 17104.615259762416827 0.012845 17104.615259762576898 0.0000000000
  24 6.12500E+017 0.000000000000000 0.000000 0.176191 17178.223600821089349 0.163291 17178.223600821089349 0.000000 17178.223600821027503 0.000000 17178.223600821042055 0.012900 17178.223600821089349 0.0000000000
  25 6.37500E+017 0.000000000000000 0.000000 0.176921 17249.371897115044703 0.163967 17249.371897115044703 0.000000 17249.371897115062893 0.000000 17249.371897114935564 0.012953 17249.371897115044703 0.0000000000
